relationship
-
=
>
BIOLINK:ACTIVELY_INVOLVED_IN
BIOLINK:ACTS_UPSTREAM_OF
BIOLINK:ACTS_UPSTREAM_OF_NEGATIVE_EFFECT
BIOLINK:ACTS_UPSTREAM_OF_OR_WITHIN
BIOLINK:ACTS_UPSTREAM_OF_OR_WITHIN_NEGATIVE_EFFECT
BIOLINK:ACTS_UPSTREAM_OF_OR_WITHIN_POSITIVE_EFFECT
BIOLINK:ACTS_UPSTREAM_OF_POSITIVE_EFFECT
BIOLINK:AMELIORATES_CONDITION
BIOLINK:ASSOCIATED_WITH_INCREASED_LIKELIHOOD_OF
BIOLINK:CAUSES
BIOLINK:CONTRAINDICATED_IN
BIOLINK:CONTRIBUTES_TO
BIOLINK:DISEASE_HAS_LOCATION
BIOLINK:ENABLES
BIOLINK:EXPRESSED_IN
BIOLINK:GENETICALLY_ASSOCIATED_WITH
BIOLINK:GENE_ASSOCIATED_WITH_CONDITION
BIOLINK:HAS_MODE_OF_INHERITANCE
BIOLINK:HAS_PHENOTYPE
BIOLINK:INTERACTS_WITH
BIOLINK:IS_SEQUENCE_VARIANT_OF
BIOLINK:MODEL_OF
BIOLINK:ORTHOLOGOUS_TO
BIOLINK:PARTICIPATES_IN
BIOLINK:PREVENTATIVE_FOR_CONDITION
BIOLINK:RELATED_TO
BIOLINK:TREATS_OR_APPLIED_OR_STUDIED_TO_TREAT
CO-EXPRESSION
DIRECTLY_INTERACTING
"DIRECTLY_INTERACTING,_CO-EXPRESSION"
"DIRECTLY_INTERACTING,_INDIRECTLY_INTERACTING"
"DIRECTLY_INTERACTING,_INDIRECTLY_INTERACTING,_CO-EXPRESSION"
"DIRECTLY_INTERACTING,_INDIRECTLY_INTERACTING,_PATHWAY_MEMBERSHIP"
"DIRECTLY_INTERACTING,_INDIRECTLY_INTERACTING,_PATHWAY_MEMBERSHIP,_CO-EXPRESSION"
"DIRECTLY_INTERACTING,_INDIRECTLY_INTERACTING,_PATHWAY_MEMBERSHIP,_SIMILAR_FUNCTION"
"DIRECTLY_INTERACTING,_INDIRECTLY_INTERACTING,_PATHWAY_MEMBERSHIP,_SIMILAR_FUNCTION,_CO-EXPRESSION"
"DIRECTLY_INTERACTING,_INDIRECTLY_INTERACTING,_SIMILAR_FUNCTION"
"DIRECTLY_INTERACTING,_PATHWAY_MEMBERSHIP,_CO-EXPRESSION"
"DIRECTLY_INTERACTING,_PATHWAY_MEMBERSHIP,_SIMILAR_FUNCTION,_CO-EXPRESSION"
"DIRECTLY_INTERACTING,_SIMILAR_FUNCTION,_CO-EXPRESSION"
INDIRECTLY_INTERACTING
"INDIRECTLY_INTERACTING,_CO-EXPRESSION"
"INDIRECTLY_INTERACTING,_PATHWAY_MEMBERSHIP,_CO-EXPRESSION"
"INDIRECTLY_INTERACTING,_PATHWAY_MEMBERSHIP,_SIMILAR_FUNCTION"
"INDIRECTLY_INTERACTING,_PATHWAY_MEMBERSHIP,_SIMILAR_FUNCTION,_CO-EXPRESSION"
"INDIRECTLY_INTERACTING,_SIMILAR_FUNCTION"
"INDIRECTLY_INTERACTING,_SIMILAR_FUNCTION,_CO-EXPRESSION"
INFORES:AGBASE
INFORES:ALZHEIMERS-UNIVERSITY-OF-TORONTO
INFORES:ARUK-UCL
INFORES:BGEE
INFORES:BHF-UCL
INFORES:BIOGRID
INFORES:CACAO
INFORES:CAFA
INFORES:CLINGEN
INFORES:CLINVAR
INFORES:COMPLEXPORTAL
INFORES:CTD
INFORES:DFLAT
INFORES:DIBU
INFORES:DICTYBASE
INFORES:DISPROT
INFORES:ENSEMBL
INFORES:FLYBASE
INFORES:GDB
INFORES:GO-CENTRAL
INFORES:GOC
INFORES:HGNC
INFORES:HGNC-UCL
INFORES:HPO-ANNOTATIONS
INFORES:INTACT
INFORES:INTERPRO
INFORES:MAXO
INFORES:MGI
INFORES:MONDO
INFORES:MTBBASE
INFORES:NTNU-SB
INFORES:OMIM
INFORES:ORPHANET
INFORES:PANTHER
INFORES:PARKINSONSUK-UCL
INFORES:PHI-BASE
INFORES:PINC
INFORES:POMBASE
INFORES:REACTOME
INFORES:RGD
INFORES:RHEA
INFORES:RNACENTRAL
INFORES:ROSLIN-INSTITUTE
INFORES:SGD
INFORES:STRING
INFORES:SYNGO
INFORES:SYNGO-UCL
INFORES:SYSCILIA-CCNET
INFORES:UNIPROT
INFORES:UOS-MCB
INFORES:WB
INFORES:WORMBASE
INFORES:XENBASE
INFORES:YUBIOLAB
INFORES:ZFIN
NONE
PATHWAY_MEMBERSHIP
"PATHWAY_MEMBERSHIP,_CO-EXPRESSION"
"PATHWAY_MEMBERSHIP,_SIMILAR_FUNCTION"
"PATHWAY_MEMBERSHIP,_SIMILAR_FUNCTION,_CO-EXPRESSION"
SIMILAR_FUNCTION
"['INFORES:MONARCHINITIATIVE',_'INFORES:AGRKB']"
"['INFORES:MONARCHINITIATIVE',_'INFORES:HPO-ANNOTATIONS']"
"['INFORES:MONARCHINITIATIVE',_'INFORES:PHENIO']"
['INFORES:MONARCHINITIATIVE']
~
