category,TransE_share,Hybrid_share
other,0.0,0.0
WB,0.006667079169631532,0.003875968992248062
RGD,0.018377007084738422,0.008527131782945736
ZFIN,0.08345450607926244,0.12713178294573643
NCBIGENE,0.14788231290412399,0.10930232558139535
MONDO,0.18209943383968072,0.0
MGI,0.21967329765182686,0.3984496124031008
HGNC,0.34184636327073603,0.35271317829457366
