head,tail,score,strength_pct,pr_head,pr_tail,pr_sum
MONDO:0006955,MONDO:0000709,-11.86296272277832,0.9895892953824735,38.098863384854255,6.139022715547766,44.23788610040202
MONDO:0002909,MONDO:0000709,-11.51262664794922,0.9721246809498028,5.1847974469837395,6.139022715547766,11.323820162531504
MONDO:0006955,MONDO:0005090,-11.44486141204834,0.9668651867893882,38.098863384854255,11.324137863807197,49.42300124866145
MONDO:0006955,MONDO:0005602,-11.294439315795898,0.9511176425090881,38.098863384854255,2.7152431706201,40.81410655547435
MONDO:0005280,MONDO:0000709,-11.28449821472168,0.9499574599737025,8.888764643744905,6.139022715547766,15.02778735929267
MONDO:0006955,MONDO:0005280,-11.273661613464355,0.9486889937350143,38.098863384854255,8.888764643744905,46.98762802859916
HGNC:18226,MONDO:0000709,-11.163074493408203,0.9341325701910433,5.311809719607034,6.139022715547766,11.4508324351548
MONDO:0005292,MONDO:0000709,-11.096386909484863,0.9237837419754041,9.320187566843083,6.139022715547766,15.459210282390849
MONDO:0005602,MONDO:0000709,-11.052000045776367,0.9161884136437466,2.7152431706201,6.139022715547766,8.854265886167866
MONDO:0002031,MONDO:0002909,-11.026989936828612,0.9116250290045633,4.078596839219128,5.1847974469837395,9.263394286202868
MONDO:0002031,MONDO:0005090,-11.011198043823242,0.9087864490679867,4.078596839219128,11.324137863807197,15.402734703026326
MONDO:0006955,MONDO:0002909,-10.993115425109863,0.9051744141078196,38.098863384854255,5.1847974469837395,43.28366083183799
MONDO:0005602,MONDO:0005090,-10.96668815612793,0.9001778946554257,2.7152431706201,11.324137863807197,14.039381034427297
MONDO:0000709,MONDO:0002909,-10.85820484161377,0.8789233506071622,6.139022715547766,5.1847974469837395,11.323820162531504
MONDO:0005602,MONDO:0006955,-10.74687957763672,0.8522236831928224,2.7152431706201,38.098863384854255,40.81410655547435
MONDO:0005602,MONDO:0005280,-10.738198280334473,0.8499497254234666,2.7152431706201,8.888764643744905,11.604007814365005
MONDO:0006955,MONDO:0005292,-10.675880432128906,0.8330729368087246,38.098863384854255,9.320187566843083,47.419050951697336
HGNC:18226,MONDO:0005090,-10.656488418579102,0.8278598499497254,5.311809719607034,11.324137863807197,16.63594758341423
HGNC:18226,MONDO:0005280,-10.620455741882324,0.8179441565472968,5.311809719607034,8.888764643744905,14.200574363351938
HGNC:17959,MONDO:0002031,-10.568108558654783,0.8021966122669967,3.7825274758276137,4.078596839219128,7.861124315046742
MONDO:0002031,MONDO:0005280,-10.543967247009276,0.7947869131410008,4.078596839219128,8.888764643744905,12.967361482964034
MONDO:0005090,MONDO:0005280,-10.521513938903809,0.7872843994121742,11.324137863807197,8.888764643744905,20.2129025075521
MONDO:0002031,MONDO:0000709,-10.5195951461792,0.7866037589914147,4.078596839219128,6.139022715547766,10.217619554766895
MONDO:0005602,MONDO:0002909,-10.459844589233398,0.7669734704926908,2.7152431706201,5.1847974469837395,7.900040617603839
MONDO:0002031,MONDO:0005292,-10.387356758117676,0.7422383788382705,4.078596839219128,9.320187566843083,13.398784406062212
MONDO:0005292,MONDO:0005280,-10.344478607177734,0.7265372418593858,9.320187566843083,8.888764643744905,18.208952210587988
MONDO:0002909,MONDO:0005602,-10.256606101989746,0.6928300719313172,5.1847974469837395,2.7152431706201,7.900040617603839
MONDO:0005090,MONDO:0000709,-10.201979637145996,0.6716374042849409,11.324137863807197,6.139022715547766,17.463160579354962
MONDO:0000709,MONDO:0005280,-10.0985746383667,0.6292056616907726,6.139022715547766,8.888764643744905,15.02778735929267
MONDO:0005280,MONDO:0005090,-10.026439666748049,0.5999690617990564,8.888764643744905,11.324137863807197,20.2129025075521
MONDO:0005090,MONDO:0002031,-10.024171829223633,0.5987779410627272,11.324137863807197,4.078596839219128,15.402734703026326
