strategy,model,n_rows,head_cov_pct,tail_cov_pct,both_cov_pct,both_rows
raw,TransE,64646,0.33412740154069853,1.85626334189277,0.00309377223648795,2
raw,Hybrid,1290,0.0,0.7751937984496124,0.0,0
upper_raw,TransE,64646,0.33412740154069853,1.85626334189277,0.00309377223648795,2
upper_raw,Hybrid,1290,0.0,0.7751937984496124,0.0,0
canonical,TransE,64646,0.33412740154069853,1.85626334189277,0.00309377223648795,2
canonical,Hybrid,1290,0.0,0.7751937984496124,0.0,0
canonical_upper,TransE,64646,0.33412740154069853,1.85626334189277,0.00309377223648795,2
canonical_upper,Hybrid,1290,0.0,0.7751937984496124,0.0,0
prefix_last,TransE,64646,0.33412740154069853,1.85626334189277,0.00309377223648795,2
prefix_last,Hybrid,1290,0.0,0.7751937984496124,0.0,0
last_segment,TransE,64646,1.6706370077034929,7.404943848033908,0.11137580051356619,72
last_segment,Hybrid,1290,0.0,4.108527131782946,0.0,0
