id, pair
dd225,PSMA3/PSMB8
dd226,PSMA3/PSMB8
dd227,PSMB4/PSMB9
dd228,PSMB4/PSMB8
dd229,CDK5RAP2/CEP152
dd230,COL4A4/COL4A3
dd231,COL4A4/COL4A3
dd232,COL4A4/COL4A3
dd233,COL4A4/COL4A3
dd234,COL4A4/COL4A3
dd235,COL4A5/COL4A4
dd236,COL4A5/COL4A4
dd237,COL4A5/COL4A4
dd238,COL4A5/COL4A4
dd239,MAN1B1/SEC23A
dd240,C2orf71/RP1L1
dd241,SHH/DISP1
dd242,MITF/GJB2
dd243,NLRP3/MEFV
dd244,NLRP3/MEFV
dd245,TNFRSF1A/MEFV
dd246,COL4A4/COL4A3
dd247,COL4A4/COL4A3
dd248,COL4A5/COL4A3
dd249,COL4A4/COL4A3
dd250,COL4A5/COL4A4
dd251,COL4A5/COL4A3
dd252,KRT5/KRT14
dd253,KRT5/KRT14
dd254,BMP15/SMC1B
dd255,REC8/GDF9
dd256,GALT/FOXL2
dd257,FIGLA/GDF9
dd258,BMP15/NOBOX
dd259,NOBOX/SMC1B
dd260,BMP15/NOBOX
dd261,TRAPPC9/PDE3A
dd262,TEK/CYP1B1
dd263,TEK/CYP1B1
dd264,TEK/CYP1B1
dd265,TEK/CYP1B1
dd266,WDR11/PROKR2
dd267,GJB2/TMPRSS3
dd268,LRP5/EYS
du0,ADAR/APOB
du1,ANKRD11/FLG
du2,KMT2A/ARID1B
du3,ENG/ASXL3
du4,SLC26A1/CACNA1A
du5,COL5A1/CHD8
du6,CRYGD/COL4A1
du7,PRICKLE2/CREBBP
du8,PTEN/DNM1
du9,MYO1F/FBN1
du10,MEF2C/FLG
du11,PACS1/FLG
du12,SOX10/GDF6
du13,GLI2/SCN2A
du14,HBB/KANSL1
du15,PTPN11/SHH
du16,SCN1A/SMARCA2
du17,PRRT2/KCNQ2
du18,SLC6A1/ANKRD11
du19,TCF12/PTCH1
du20,KRIT1/COL11A1
du21,SCN8A/KCNQ2
du22,SOX9/NF1
du23,SMC1A/MYH2
du24,CLCN1/SETBP1
du25,KCNT1/TTN
du26,ACTG1/WFS1
du27,DES/CLCN1
du28,GATAD2B/WWOX
du29,GNAO1/ACADM
du30,HBB/TJP2
du31,KIF5C/NRXN1
du32,HEXA/KMT2D
du33,NF1/GALNT3
du34,PUF60/LOXHD1
du35,SCN8A/MAN2B1
du36,SPRED1/MEGF10
du37,MTFMT/SYNGAP1
du38,TGFB2/TYR
du39,ECEL1/ARHGEF10
du40,TECPR2/FLG
du41,TUBB3/ISCA2
du42,NLRC4/SERPINA1
du43,CPOX/ABCA1
du44,GLI2/BLM
du45,BRWD3/CHD8
du46,G6PD/ARID1B
du47,CHD7/DMD
du48,DNM1L/PDHA1
du49,SMC1A/EFHC1
du50,KDM5C/GLI2
du51,LAS1L/GLI3
du52,GRIN2B/SHOXY
du53,PAFAH1B1/FGD1
du54,SCN1A/PDHA1
du55,MED13L/HUWE1
du56,DDX3X/COL7A1
du57,ATRX/COL9A1
du58,PCCA/AGL
du59,MCCC2/HEXB
du60,MTPAP/NPC1
du61,XPC/RECQL4
du62,MMP2/TPO
du63,LPAR6/AGL
du64,PAPSS2/TRDN
du65,AGPAT2/OBSL1
du66,MECP2/F7
du67,G6PD/FANCG
du68,SLC35A2/TCF12
du69,SMC1A/CFTR
du70,AVPR2/SLC45A2
du71,SHOX/ALG6
du72,HDAC8/IRX5
du73,NLGN4X/BCS1L
du74,PHF8/KIAA2022
